"Name";"Category";"Author";"URL"
"RawCopy";"filesystem";"jschicht";"https://github.com/jschicht/RawCopy/archive/master.zip"
"RBCmd";"user_activity";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/RBCmd.zip"
"RcrdCarver";"carving";"jschicht";"https://github.com/jschicht/RcrdCarver/archive/master.zip"
"RecentFileCacheParser";"execution";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/RecentFileCacheParser.zip"
"RecuperaBit";"carving";"andrea_lazzarotto";"https://github.com/Lazza/RecuperaBit/archive/master.zip"
"RecuperaBit_release";"carving";"andrea_lazzarotto";"https://api.github.com/repos/Lazza/RecuperaBit/releases/latest"
"RegDllView";"system";"nirsoft";"https://www.nirsoft.net/utils/regdllview.zip"
"Regf";"registry";"msuhanov";"https://github.com/msuhanov/regf/archive/master.zip"
"Regf_release";"registry";"msuhanov";"https://api.github.com/repos/msuhanov/regf/releases/latest"
"RegFromApp";"registry";"nirsoft";"https://www.nirsoft.net/utils/regfromapp.zip"
"Registry-miner";"registry";"msuhanov";"https://github.com/msuhanov/registry-miner/archive/master.zip"
"RegistryExplorer_RECmd";"registry";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/RegistryExplorer_RECmd.zip"
"RegRipper";"registry";"carvey";"https://github.com/keydet89/RegRipper3.0/archive/master.zip"
"Resource_Hacker";"file_analysis";"angus_johnson";"http://www.angusj.com/resourcehacker/resource_hacker.zip"
"ResourcesExtract";"malware";"nirsoft";"https://www.nirsoft.net/utils/resourcesextract.zip"
"SafariCacheView";"browser";"nirsoft";"https://www.nirsoft.net/utils/safaricacheview.zip"
"SafariHistoryView";"browser";"nirsoft";"https://www.nirsoft.net/utils/safarihistoryview.zip"
"SDBExplorer";"execution";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/SDBExplorer.zip"
"SearchMyFiles";"user_activity";"nirsoft";"https://www.nirsoft.net/utils/searchmyfiles.zip"
"Secure2Csv";"filesystem";"jschicht";"https://github.com/jschicht/Secure2Csv/archive/master.zip"
"SetMace";"filesystem";"jschicht";"https://github.com/jschicht/SetMace/archive/master.zip"
"SetRegTime";"registry";"jschicht";"https://github.com/jschicht/SetRegTime/archive/master.zip"
"ShellBagsExplorer";"user_activity";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/ShellBagsExplorer.zip"
"ShimCacheParser";"registry";"mandiant";"https://github.com/mandiant/ShimCacheParser/archive/master.zip"
"SimpleProgramDebugger";"malware";"nirsoft";"https://www.nirsoft.net/utils/simpleprogramdebugger.zip"
"SimpleProgramDebuggerx64";"malware";"nirsoft";"https://www.nirsoft.net/utils/simpleprogramdebugger-x64.zip"
"Sleuthkit";"filesystem";"Sleuthkit";"https://github.com/sleuthkit/sleuthkit/archive/develop.zip"
"Sleuthkit_release";"filesystem";"Sleuthkit";"https://api.github.com/repos/sleuthkit/sleuthkit/releases/latest"
"SmartSniff";"network";"nirsoft";"https://www.nirsoft.net/utils/smsniff.zip"
"SocketSniff";"network";"nirsoft";"https://www.nirsoft.net/utils/socketsniff.zip"
"SQLite-Deleted-Records-Parser";"carving";"cheeky4n6monkey";"https://github.com/cheeky4n6monkey/SQLite-Deleted-Records-Parser/archive/master.zip"
"Srum-Dump";"user_activity";"baggett";"https://github.com/MarkBaggett/srum-dump/archive/master.zip"
"Structured_Storage_Viewer";"file_analysis";"mitec";"https://www.mitec.cz/Downloads/SSView.zip"
"Sysinternals";"suite";"micrososft";"https://download.sysinternals.com/files/SysinternalsSuite.zip"
"SysvolExplorer";"ad";"anssi";"https://github.com/ANSSI-FR/SysvolExplorer/archive/master.zip"
"TaskSchedulerView";"persistence";"nirsoft";"https://www.nirsoft.net/utils/taskschedulerview.zip"
"Testdisk_";"carving";"grenier";"https://www.cgsecurity.org/testdisk-7.2-WIP.win.zip"
"TimeCraver";"carving";"hexacorn";"http://www.hexacorn.com/tools/TimeCraver.pl"
"TimelineExplorer";"timeline";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/TimelineExplorer.zip"
"Timesketch";"timeline";"google";"https://github.com/google/timesketch/archive/master.zip"
"Timesketch_release";"timeline";"google";"https://api.github.com/repos/google/timesketch/releases/latest"
"TurnedOnTimesView";"system";"nirsoft";"https://www.nirsoft.net/utils/turnedontimesview.zip"
"unBUP";"file_analysis";"n3l5";"https://github.com/n3l5/unBUP/archive/master.zip"
"UninstallView";"registry";"nirsoft";"https://www.nirsoft.net/utils/uninstallview.zip"
"usb_investigator";"USB,Events";"tokesr";"https://github.com/tokesr/usb_investigator/archive/master.zip"
"UsbDeviceForensics";"registry";"woanware";"https://github.com/woanware/usbdeviceforensics/archive/master.zip"
"UsbDeviceForensics_release";"registry";"woanware";"https://api.github.com/repos/woanware/usbdeviceforensics/releases/latest"
"USBDeview";"system";"nirsoft";"https://www.nirsoft.net/utils/usbdeview.zip"
"USN-Journal-Parser";"filesystem";"poorbillionaire";"https://github.com/PoorBillionaire/USN-Journal-Parser/archive/master.zip"
"USN-Record-Carver";"carving";"poorbillionaire";"https://github.com/PoorBillionaire/USN-Record-Carver/archive/master.zip"
"UsnJrnl2Csv";"filesystem";"jschicht";"https://github.com/jschicht/UsnJrnl2Csv/archive/master.zip"
"UsnJrnlCarver";"carving";"jschicht";"https://github.com/jschicht/UsnJrnlCarver/archive/master.zip"
"Velociraptor";"collect";"Velocidex";"https://github.com/Velocidex/velociraptor/archive/master.zip"
"Velociraptor_release";"collect";"Velocidex";"https://api.github.com/repos/Velocidex/velociraptor/releases/latest"
"Volatility";"ram";"volatility";"https://github.com/volatilityfoundation/volatility/archive/master.zip"
"Volatility_community";"ram";"volatility";"https://github.com/volatilityfoundation/community/archive/master.zip"
"Volatility_profiles";"ram";"volatility";"https://github.com/volatilityfoundation/profiles/archive/master.zip"
"Volatility_release";"ram";"volatility";"https://github.com/volatilityfoundation/volatility/releases"
"Volatility3";"ram";"volatility";"https://github.com/volatilityfoundation/volatility3/archive/master.zip"
"Volatility3_release_";"ram";"volatility";"https://github.com/volatilityfoundation/volatility3/releases/download/v1.0.0-beta.1/volatility3-windows-binaries-1.0.0-beta.1.zip"
"VSCMount";"filesystem";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/VSCMount.zip"
"Vss_Carver";"carving";"kobayashi";"https://github.com/mnrkbys/vss_carver/archive/master.zip"
"WFA";"file_analysis";"mitec";"https://www.mitec.cz/Downloads/WFA.zip"
"WifiChannelMonitor";"network";"nirsoft";"https://www.nirsoft.net/utils/wifichannelmonitor.zip"
"Windows-Prefetch-Carver";"carving";"poorbillionaire";"https://github.com/PoorBillionaire/Windows-Prefetch-Carver/archive/master.zip"
"Windows-Prefetch-Parser";"execution";"poorbillionaire";"https://github.com/PoorBillionaire/Windows-Prefetch-Parser/archive/master.zip"
"WinLogOnView";"user_activity";"nirsoft";"https://www.nirsoft.net/utils/winlogonview.zip"
"WMI_Forensics";"file_analysis";"davidpany";"https://github.com/davidpany/WMI_Forensics/archive/master.zip"
"Wmi-parser";"user_activity";"woanware";"https://github.com/woanware/wmi-parser/archive/master.zip"
"Wmi-parser_release";"user_activity";"woanware";"https://api.github.com/repos/woanware/wmi-parser/releases/latest"
"WRR";"registry";"mitec";"https://www.mitec.cz/Downloads/WRR.zip"
"WxTCmd";"user_activity";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/WxTCmd.zip"
"Xplico";"network";"xplico";"https://github.com/xplico/xplico/archive/master.zip"
"XWFIM";"suite";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/XWFIM.zip"
"Yaguard";"ioc";"novirusthanks";"https://downloads.novirusthanks.org/files/yaguard.zip"
"Yarp";"filesystem";"msuhanov";"https://github.com/msuhanov/yarp/archive/master.zip"
"Yarp_release";"filesystem";"msuhanov";"https://api.github.com/repos/msuhanov/yarp/releases/latest"
